id|Title|Brand|Type|Sex|Size|SizeParams|SizeArray|Color|Country|Price|Image
879|Mellingward / Комбинезон для собак демисезонный с отверстием для поводка|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|55,55,55;||Китай|2966|images.wbstatic.net/c516x688/new/17020000/17023602-1.jpg
880|Орлова Екатерина / Свитер для мелких пород собак|Орлова Екатерина|свитер|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|S,S,28-33,18-23,17-23;M,М,34-40,23-27,23-28;M,M,34-40,23-27,23-28;L,L,40-45,27-31,28-35;|розовый|Россия|1100|images.wbstatic.net/c516x688/new/7000000/7007175-1.jpg
881|Орлова Екатерина / Свитер для собак /кошек|Орлова Екатерина|свитер|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|S,S,28-33,18-23,17-23;M,M,34-40,23-27,23-28;L,L,40-45,27-31,28-35;XL,XL,50,32,33;|розовый|Россия|1500|images.wbstatic.net/c516x688/new/11240000/11245953-1.jpg
882|Тузик / Комбинезон на флисе для самки Лабрадор|Тузик|комбинезон|самка||Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;Рост в холке, в см;|Лабрадор,Лабрадор,87-94,74-81,50-61,61-65,59-69;||Россия|4500|images.wbstatic.net/c516x688/new/16090000/16099812-1.jpg
883|Ай Да Пес / Толстовка|Ай Да Пес|толстовка|самец|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|S,S,36,28,24;M,M,42,32,26;L,L,47,36,28;XL,XL,52,40,30;2XL,2XL,56,44,33;3XL,3XL,60,48,36;|серый||1817|images.wbstatic.net/c516x688/new/3590000/3594705-1.jpg
884|LaIra / жилетка "Крокодил" утепленная мальчик|LaIra|жилет|самец||Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|9-10,9-10,55,34;|зеленый|Россия|3100|images.wbstatic.net/c516x688/new/17060000/17065373-1.jpg
885|Mellingward / Свитер для собаки меланжевый, серый|Mellingward|свитер||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|30,30,30;||Китай|1639|images.wbstatic.net/c516x688/new/17040000/17048930-1.jpg
886|DOLYS / Одежда для собак / Свитер для собак / Для мелких пород|DOLYS|свитер|самец|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|30,m,30;|черный||1500|images.wbstatic.net/c516x688/new/16840000/16842894-1.jpg
887|Тузик / Дождевик для самки Английский бульдог|Тузик|комбинезон|самка|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;Рост в холке, в см;|Английский бульдог,Англ.б-г,85,74-78,58-60,47-48,52;||Россия|2650|images.wbstatic.net/c516x688/new/14820000/14829148-1.jpg
888|Тузик / Мембрана на флисе для кобеля Такса кроличья|Тузик|комбинезон|самец||Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;Рост в холке, в см;|Такса кроличья,Такса кроличья,46-47,39-40,32-33,35,26;||Россия|3800|images.wbstatic.net/c516x688/new/16920000/16920145-1.jpg
